laus_code,state_fips_code,county_fips_code,county_state,year,labor_force,employed,unemployed,unemployment_rate
CN1327500000000,13,275,"Thomas County, GA",2008,"22,221","20,937","1,284",5.8
CN1327700000000,13,277,"Tift County, GA",2008,"19,076","17,720","1,356",7.1
CN1327900000000,13,279,"Toombs County, GA",2008,"14,049","13,043","1,006",7.2
CN1328100000000,13,281,"Towns County, GA",2008,"5,831","5,485",346,5.9
CN1328300000000,13,283,"Treutlen County, GA",2008,"2,891","2,645",246,8.5
CN1328500000000,13,285,"Troup County, GA",2008,"30,594","28,102","2,492",8.1
CN1328700000000,13,287,"Turner County, GA",2008,"4,800","4,411",389,8.1
CN1328900000000,13,289,"Twiggs County, GA",2008,"4,766","4,436",330,6.9
CN1329100000000,13,291,"Union County, GA",2008,"11,173","10,521",652,5.8
CN1329300000000,13,293,"Upson County, GA",2008,"12,032","11,037",995,8.3
CN1329500000000,13,295,"Walker County, GA",2008,"33,436","31,232","2,204",6.6
CN1329700000000,13,297,"Walton County, GA",2008,"42,256","39,554","2,702",6.4
CN1329900000000,13,299,"Ware County, GA",2008,"15,255","14,249","1,006",6.6
CN1330100000000,13,301,"Warren County, GA",2008,"2,490","2,235",255,10.2
CN1330300000000,13,303,"Washington County, GA",2008,"8,224","7,577",647,7.9
CN1330500000000,13,305,"Wayne County, GA",2008,"12,251","11,309",942,7.7
CN1330700000000,13,307,"Webster County, GA",2008,"1,307","1,239",68,5.2
CN1330900000000,13,309,"Wheeler County, GA",2008,"2,932","2,725",207,7.1
CN1331100000000,13,311,"White County, GA",2008,"12,672","11,977",695,5.5
CN1331300000000,13,313,"Whitfield County, GA",2008,"46,317","42,809","3,508",7.6
CN1331500000000,13,315,"Wilcox County, GA",2008,"3,280","3,010",270,8.2
CN1331700000000,13,317,"Wilkes County, GA",2008,"4,691","4,302",389,8.3
CN1331900000000,13,319,"Wilkinson County, GA",2008,"4,763","4,436",327,6.9
CN1332100000000,13,321,"Worth County, GA",2008,"10,253","9,567",686,6.7
CN1500100000000,15,1,"Hawaii County, HI",2008,"84,886","79,796","5,090",6.0
CN1500300000000,15,3,"Honolulu County/city, HI",2008,"443,915","426,832","17,083",3.8
CN1500700000000,15,7,"Kauai County, HI",2008,"32,661","31,077","1,584",4.8
CN1500900000000,15,9,"Maui County, HI",2008,"78,229","74,415","3,814",4.9
CN1600100000000,16,1,"Ada County, ID",2008,"196,434","186,848","9,586",4.9
CN1600300000000,16,3,"Adams County, ID",2008,"1,913","1,710",203,10.6
CN1600500000000,16,5,"Bannock County, ID",2008,"39,594","37,716","1,878",4.7
CN1600700000000,16,7,"Bear Lake County, ID",2008,"3,302","3,192",110,3.3
CN1600900000000,16,9,"Benewah County, ID",2008,"4,080","3,668",412,10.1
CN1601100000000,16,11,"Bingham County, ID",2008,"22,383","21,482",901,4.0
CN1601300000000,16,13,"Blaine County, ID",2008,"13,726","13,186",540,3.9
CN1601500000000,16,15,"Boise County, ID",2008,"3,482","3,274",208,6.0
CN1601700000000,16,17,"Bonner County, ID",2008,"20,417","19,063","1,354",6.6
CN1601900000000,16,19,"Bonneville County, ID",2008,"50,146","48,346","1,800",3.6
CN1602100000000,16,21,"Boundary County, ID",2008,"4,589","4,186",403,8.8
CN1602300000000,16,23,"Butte County, ID",2008,"1,369","1,310",59,4.3
CN1602500000000,16,25,"Camas County, ID",2008,630,602,28,4.4
CN1602700000000,16,27,"Canyon County, ID",2008,"84,097","78,638","5,459",6.5
CN1602900000000,16,29,"Caribou County, ID",2008,"3,899","3,755",144,3.7
CN1603100000000,16,31,"Cassia County, ID",2008,"10,986","10,554",432,3.9
CN1603300000000,16,33,"Clark County, ID",2008,596,575,21,3.5
CN1603500000000,16,35,"Clearwater County, ID",2008,"3,217","2,864",353,11.0
CN1603700000000,16,37,"Custer County, ID",2008,"2,438","2,326",112,4.6
CN1603900000000,16,39,"Elmore County, ID",2008,"11,381","10,735",646,5.7
CN1604100000000,16,41,"Franklin County, ID",2008,"5,690","5,498",192,3.4
CN1604300000000,16,43,"Fremont County, ID",2008,"5,763","5,477",286,5.0
CN1604500000000,16,45,"Gem County, ID",2008,"7,038","6,535",503,7.1
CN1604700000000,16,47,"Gooding County, ID",2008,"8,735","8,433",302,3.5
CN1604900000000,16,49,"Idaho County, ID",2008,"7,134","6,591",543,7.6
CN1605100000000,16,51,"Jefferson County, ID",2008,"11,279","10,847",432,3.8
CN1605300000000,16,53,"Jerome County, ID",2008,"9,966","9,541",425,4.3
CN1605500000000,16,55,"Kootenai County, ID",2008,"70,769","66,653","4,116",5.8
CN1605700000000,16,57,"Latah County, ID",2008,"17,180","16,453",727,4.2
CN1605900000000,16,59,"Lemhi County, ID",2008,"3,664","3,413",251,6.9
CN1606100000000,16,61,"Lewis County, ID",2008,"1,688","1,622",66,3.9
CN1606300000000,16,63,"Lincoln County, ID",2008,"2,570","2,425",145,5.6
CN1606500000000,16,65,"Madison County, ID",2008,"16,673","16,075",598,3.6
CN1606700000000,16,67,"Minidoka County, ID",2008,"10,078","9,616",462,4.6
CN1606900000000,16,69,"Nez Perce County, ID",2008,"18,560","17,706",854,4.6
CN1607100000000,16,71,"Oneida County, ID",2008,"2,304","2,223",81,3.5
CN1607300000000,16,73,"Owyhee County, ID",2008,"4,363","4,226",137,3.1
CN1607500000000,16,75,"Payette County, ID",2008,"10,446","9,822",624,6.0
CN1607700000000,16,77,"Power County, ID",2008,"3,541","3,353",188,5.3
CN1607900000000,16,79,"Shoshone County, ID",2008,"6,192","5,671",521,8.4
CN1608100000000,16,81,"Teton County, ID",2008,"5,304","5,149",155,2.9
CN1608300000000,16,83,"Twin Falls County, ID",2008,"38,108","36,563","1,545",4.1
CN1608500000000,16,85,"Valley County, ID",2008,"4,781","4,350",431,9.0
CN1608700000000,16,87,"Washington County, ID",2008,"4,645","4,376",269,5.8
CN1700100000000,17,1,"Adams County, IL",2008,"38,756","36,907","1,849",4.8
CN1700300000000,17,3,"Alexander County, IL",2008,"3,108","2,814",294,9.5
CN1700500000000,17,5,"Bond County, IL",2008,"8,779","8,196",583,6.6
CN1700700000000,17,7,"Boone County, IL",2008,"26,752","24,270","2,482",9.3
CN1700900000000,17,9,"Brown County, IL",2008,"3,537","3,404",133,3.8
CN1701100000000,17,11,"Bureau County, IL",2008,"19,294","18,126","1,168",6.1
CN1701300000000,17,13,"Calhoun County, IL",2008,"2,578","2,392",186,7.2
CN1701500000000,17,15,"Carroll County, IL",2008,"8,507","7,955",552,6.5
CN1701700000000,17,17,"Cass County, IL",2008,"7,610","7,210",400,5.3
CN1701900000000,17,19,"Champaign County, IL",2008,"105,661","99,814","5,847",5.5
CN1702100000000,17,21,"Christian County, IL",2008,"17,945","16,778","1,167",6.5
CN1702300000000,17,23,"Clark County, IL",2008,"8,588","7,912",676,7.9
CN1702500000000,17,25,"Clay County, IL",2008,"6,766","6,279",487,7.2
CN1702700000000,17,27,"Clinton County, IL",2008,"19,322","18,143","1,179",6.1
CN1702900000000,17,29,"Coles County, IL",2008,"27,740","26,049","1,691",6.1
CN1703100000000,17,31,"Cook County, IL",2008,"2,615,675","2,447,178","168,497",6.4
CN1703300000000,17,33,"Crawford County, IL",2008,"9,706","9,072",634,6.5
CN1703500000000,17,35,"Cumberland County, IL",2008,"5,653","5,250",403,7.1
CN1703700000000,17,37,"DeKalb County, IL",2008,"60,336","56,851","3,485",5.8
CN1703900000000,17,39,"De Witt County, IL",2008,"8,651","8,141",510,5.9
CN1704100000000,17,41,"Douglas County, IL",2008,"10,467","9,856",611,5.8
CN1704300000000,17,43,"DuPage County, IL",2008,"529,285","502,976","26,309",5.0
CN1704500000000,17,45,"Edgar County, IL",2008,"10,278","9,571",707,6.9
CN1704700000000,17,47,"Edwards County, IL",2008,"3,284","3,076",208,6.3
CN1704900000000,17,49,"Effingham County, IL",2008,"18,542","17,528","1,014",5.5
CN1705100000000,17,51,"Fayette County, IL",2008,"10,234","9,435",799,7.8
CN1705300000000,17,53,"Ford County, IL",2008,"7,182","6,746",436,6.1
CN1705500000000,17,55,"Franklin County, IL",2008,"17,928","16,281","1,647",9.2
CN1705700000000,17,57,"Fulton County, IL",2008,"17,958","16,784","1,174",6.5
CN1705900000000,17,59,"Gallatin County, IL",2008,"2,614","2,405",209,8.0
CN1706100000000,17,61,"Greene County, IL",2008,"6,945","6,530",415,6.0
CN1706300000000,17,63,"Grundy County, IL",2008,"26,237","24,348","1,889",7.2
CN1706500000000,17,65,"Hamilton County, IL",2008,"4,223","3,935",288,6.8
CN1706700000000,17,67,"Hancock County, IL",2008,"9,859","9,189",670,6.8
CN1706900000000,17,69,"Hardin County, IL",2008,"1,712","1,554",158,9.2
CN1707100000000,17,71,"Henderson County, IL",2008,"3,909","3,629",280,7.2
CN1707300000000,17,73,"Henry County, IL",2008,"27,596","25,928","1,668",6.0
CN1707500000000,17,75,"Iroquois County, IL",2008,"16,753","15,643","1,110",6.6
CN1707700000000,17,77,"Jackson County, IL",2008,"32,470","30,647","1,823",5.6
CN1707900000000,17,79,"Jasper County, IL",2008,"5,201","4,864",337,6.5
CN1708100000000,17,81,"Jefferson County, IL",2008,"20,827","19,542","1,285",6.2
CN1708300000000,17,83,"Jersey County, IL",2008,"11,790","11,045",745,6.3
CN1708500000000,17,85,"Jo Daviess County, IL",2008,"13,420","12,676",744,5.5
CN1708700000000,17,87,"Johnson County, IL",2008,"5,121","4,713",408,8.0
CN1708900000000,17,89,"Kane County, IL",2008,"271,767","255,338","16,429",6.0
CN1709100000000,17,91,"Kankakee County, IL",2008,"55,903","51,242","4,661",8.3
CN1709300000000,17,93,"Kendall County, IL",2008,"59,585","56,150","3,435",5.8
CN1709500000000,17,95,"Knox County, IL",2008,"25,565","23,925","1,640",6.4
CN1709700000000,17,97,"Lake County, IL",2008,"371,016","347,350","23,666",6.4
CN1709900000000,17,99,"LaSalle County, IL",2008,"59,085","54,522","4,563",7.7
CN1710100000000,17,101,"Lawrence County, IL",2008,"8,290","7,682",608,7.3
CN1710300000000,17,103,"Lee County, IL",2008,"18,220","16,977","1,243",6.8
CN1710500000000,17,105,"Livingston County, IL",2008,"19,387","18,258","1,129",5.8
CN1710700000000,17,107,"Logan County, IL",2008,"13,397","12,516",881,6.6
CN1710900000000,17,109,"McDonough County, IL",2008,"16,892","15,972",920,5.4
CN1711100000000,17,111,"McHenry County, IL",2008,"180,529","170,098","10,431",5.8
CN1711300000000,17,113,"McLean County, IL",2008,"90,615","86,181","4,434",4.9
CN1711500000000,17,115,"Macon County, IL",2008,"54,586","50,876","3,710",6.8
CN1711700000000,17,117,"Macoupin County, IL",2008,"24,577","22,762","1,815",7.4
CN1711900000000,17,119,"Madison County, IL",2008,"139,675","130,675","9,000",6.4
CN1712100000000,17,121,"Marion County, IL",2008,"18,550","17,022","1,528",8.2
CN1712300000000,17,123,"Marshall County, IL",2008,"7,235","6,844",391,5.4
CN1712500000000,17,125,"Mason County, IL",2008,"7,388","6,811",577,7.8
CN1712700000000,17,127,"Massac County, IL",2008,"7,412","6,893",519,7.0
CN1712900000000,17,129,"Menard County, IL",2008,"6,926","6,547",379,5.5
CN1713100000000,17,131,"Mercer County, IL",2008,"8,928","8,333",595,6.7
CN1713300000000,17,133,"Monroe County, IL",2008,"18,600","17,638",962,5.2
CN1713500000000,17,135,"Montgomery County, IL",2008,"13,443","12,295","1,148",8.5
CN1713700000000,17,137,"Morgan County, IL",2008,"17,943","16,859","1,084",6.0
CN1713900000000,17,139,"Moultrie County, IL",2008,"8,014","7,609",405,5.1
CN1714100000000,17,141,"Ogle County, IL",2008,"27,925","25,786","2,139",7.7
CN1714300000000,17,143,"Peoria County, IL",2008,"98,134","92,524","5,610",5.7
CN1714500000000,17,145,"Perry County, IL",2008,"9,578","8,668",910,9.5
CN1714700000000,17,147,"Piatt County, IL",2008,"8,957","8,518",439,4.9
CN1714900000000,17,149,"Pike County, IL",2008,"8,541","8,049",492,5.8
CN1715100000000,17,151,"Pope County, IL",2008,"1,937","1,777",160,8.3
CN1715300000000,17,153,"Pulaski County, IL",2008,"2,894","2,628",266,9.2
CN1715500000000,17,155,"Putnam County, IL",2008,"3,206","2,982",224,7.0
CN1715700000000,17,157,"Randolph County, IL",2008,"15,327","14,324","1,003",6.5
CN1715900000000,17,159,"Richland County, IL",2008,"7,529","7,044",485,6.4
CN1716100000000,17,161,"Rock Island County, IL",2008,"79,328","74,998","4,330",5.5
CN1716300000000,17,163,"St. Clair County, IL",2008,"125,059","115,708","9,351",7.5
CN1716500000000,17,165,"Saline County, IL",2008,"12,526","11,521","1,005",8.0
CN1716700000000,17,167,"Sangamon County, IL",2008,"107,713","101,724","5,989",5.6
CN1716900000000,17,169,"Schuyler County, IL",2008,"4,346","4,126",220,5.1
CN1717100000000,17,171,"Scott County, IL",2008,"2,737","2,576",161,5.9
CN1717300000000,17,173,"Shelby County, IL",2008,"11,164","10,443",721,6.5
CN1717500000000,17,175,"Stark County, IL",2008,"2,980","2,792",188,6.3
CN1717700000000,17,177,"Stephenson County, IL",2008,"25,454","23,742","1,712",6.7
CN1717900000000,17,179,"Tazewell County, IL",2008,"73,747","69,906","3,841",5.2
CN1718100000000,17,181,"Union County, IL",2008,"8,331","7,621",710,8.5
CN1718300000000,17,183,"Vermilion County, IL",2008,"37,389","34,506","2,883",7.7
CN1718500000000,17,185,"Wabash County, IL",2008,"6,128","5,687",441,7.2
CN1718700000000,17,187,"Warren County, IL",2008,"9,250","8,735",515,5.6
CN1718900000000,17,189,"Washington County, IL",2008,"8,337","7,842",495,5.9
CN1719100000000,17,191,"Wayne County, IL",2008,"8,313","7,790",523,6.3
CN1719300000000,17,193,"White County, IL",2008,"7,829","7,333",496,6.3
CN1719500000000,17,195,"Whiteside County, IL",2008,"30,286","28,251","2,035",6.7
CN1719700000000,17,197,"Will County, IL",2008,"365,147","342,981","22,166",6.1
CN1719900000000,17,199,"Williamson County, IL",2008,"35,360","32,921","2,439",6.9
CN1720100000000,17,201,"Winnebago County, IL",2008,"147,735","135,296","12,439",8.4
CN1720300000000,17,203,"Woodford County, IL",2008,"21,724","20,804",920,4.2
CN1800100000000,18,1,"Adams County, IN",2008,"15,521","14,334","1,187",7.6
CN1800300000000,18,3,"Allen County, IN",2008,"181,298","170,481","10,817",6.0
CN1800500000000,18,5,"Bartholomew County, IN",2008,"39,559","37,724","1,835",4.6
CN1800700000000,18,7,"Benton County, IN",2008,"4,405","4,174",231,5.2
CN1800900000000,18,9,"Blackford County, IN",2008,"6,484","5,989",495,7.6
CN1801100000000,18,11,"Boone County, IN",2008,"28,429","27,197","1,232",4.3
CN1801300000000,18,13,"Brown County, IN",2008,"7,587","7,157",430,5.7
CN1801500000000,18,15,"Carroll County, IN",2008,"10,170","9,573",597,5.9
CN1801700000000,18,17,"Cass County, IN",2008,"18,803","17,623","1,180",6.3
CN1801900000000,18,19,"Clark County, IN",2008,"56,064","53,075","2,989",5.3
CN1802100000000,18,21,"Clay County, IN",2008,"12,870","11,959",911,7.1
CN1802300000000,18,23,"Clinton County, IN",2008,"16,879","15,956",923,5.5
CN1802500000000,18,25,"Crawford County, IN",2008,"5,388","4,983",405,7.5
CN1802700000000,18,27,"Daviess County, IN",2008,"15,202","14,620",582,3.8
CN1802900000000,18,29,"Dearborn County, IN",2008,"26,244","24,707","1,537",5.9
CN1803100000000,18,31,"Decatur County, IN",2008,"12,681","11,886",795,6.3
CN1803300000000,18,33,"DeKalb County, IN",2008,"20,618","19,119","1,499",7.3
CN1803500000000,18,35,"Delaware County, IN",2008,"55,469","51,756","3,713",6.7
CN1803700000000,18,37,"Dubois County, IN",2008,"22,293","21,435",858,3.8
CN1803900000000,18,39,"Elkhart County, IN",2008,"97,832","89,437","8,395",8.6
CN1804100000000,18,41,"Fayette County, IN",2008,"10,078","8,933","1,145",11.4
CN1804300000000,18,43,"Floyd County, IN",2008,"38,348","36,392","1,956",5.1
CN1804500000000,18,45,"Fountain County, IN",2008,"8,652","8,191",461,5.3
CN1804700000000,18,47,"Franklin County, IN",2008,"11,887","11,104",783,6.6
CN1804900000000,18,49,"Fulton County, IN",2008,"10,276","9,602",674,6.6
CN1805100000000,18,51,"Gibson County, IN",2008,"16,830","15,956",874,5.2
CN1805300000000,18,53,"Grant County, IN",2008,"32,384","29,924","2,460",7.6
CN1805500000000,18,55,"Greene County, IN",2008,"16,012","15,025",987,6.2
CN1805700000000,18,57,"Hamilton County, IN",2008,"145,147","139,618","5,529",3.8
CN1805900000000,18,59,"Hancock County, IN",2008,"36,422","34,669","1,753",4.8
CN1806100000000,18,61,"Harrison County, IN",2008,"19,652","18,495","1,157",5.9
CN1806300000000,18,63,"Hendricks County, IN",2008,"74,001","70,815","3,186",4.3
CN1806500000000,18,65,"Henry County, IN",2008,"22,721","21,133","1,588",7.0
CN1806700000000,18,67,"Howard County, IN",2008,"37,112","34,221","2,891",7.8
CN1806900000000,18,69,"Huntington County, IN",2008,"20,177","18,830","1,347",6.7
CN1807100000000,18,71,"Jackson County, IN",2008,"21,790","20,629","1,161",5.3
CN1807300000000,18,73,"Jasper County, IN",2008,"15,750","14,832",918,5.8
CN1807500000000,18,75,"Jay County, IN",2008,"11,751","11,070",681,5.8
CN1807700000000,18,77,"Jefferson County, IN",2008,"16,745","15,727","1,018",6.1
CN1807900000000,18,79,"Jennings County, IN",2008,"13,793","12,806",987,7.2
CN1808100000000,18,81,"Johnson County, IN",2008,"75,191","71,678","3,513",4.7
CN1808300000000,18,83,"Knox County, IN",2008,"20,188","19,172","1,016",5.0
CN1808500000000,18,85,"Kosciusko County, IN",2008,"42,069","39,317","2,752",6.5
CN1808700000000,18,87,"LaGrange County, IN",2008,"16,600","15,170","1,430",8.6
CN1808900000000,18,89,"Lake County, IN",2008,"228,369","214,202","14,167",6.2
CN1809100000000,18,91,"LaPorte County, IN",2008,"52,700","49,417","3,283",6.2
CN1809300000000,18,93,"Lawrence County, IN",2008,"22,064","20,234","1,830",8.3
CN1809500000000,18,95,"Madison County, IN",2008,"61,422","57,161","4,261",6.9
CN1809700000000,18,97,"Marion County, IN",2008,"463,200","437,123","26,077",5.6
CN1809900000000,18,99,"Marshall County, IN",2008,"23,183","21,490","1,693",7.3
CN1810100000000,18,101,"Martin County, IN",2008,"5,144","4,894",250,4.9
CN1810300000000,18,103,"Miami County, IN",2008,"16,602","15,283","1,319",7.9
CN1810500000000,18,105,"Monroe County, IN",2008,"69,809","66,641","3,168",4.5
CN1810700000000,18,107,"Montgomery County, IN",2008,"19,090","18,148",942,4.9
CN1810900000000,18,109,"Morgan County, IN",2008,"37,519","35,359","2,160",5.8
CN1811100000000,18,111,"Newton County, IN",2008,"6,971","6,535",436,6.3
CN1811300000000,18,113,"Noble County, IN",2008,"22,750","20,822","1,928",8.5
CN1811500000000,18,115,"Ohio County, IN",2008,"3,044","2,855",189,6.2
CN1811700000000,18,117,"Orange County, IN",2008,"10,401","9,738",663,6.4
CN1811900000000,18,119,"Owen County, IN",2008,"11,415","10,685",730,6.4
CN1812100000000,18,121,"Parke County, IN",2008,"8,053","7,568",485,6.0
CN1812300000000,18,123,"Perry County, IN",2008,"9,706","9,204",502,5.2
CN1812500000000,18,125,"Pike County, IN",2008,"6,032","5,692",340,5.6
CN1812700000000,18,127,"Porter County, IN",2008,"84,369","80,333","4,036",4.8
CN1812900000000,18,129,"Posey County, IN",2008,"13,361","12,711",650,4.9
CN1813100000000,18,131,"Pulaski County, IN",2008,"6,799","6,416",383,5.6
CN1813300000000,18,133,"Putnam County, IN",2008,"17,701","16,510","1,191",6.7
CN1813500000000,18,135,"Randolph County, IN",2008,"12,716","11,839",877,6.9
CN1813700000000,18,137,"Ripley County, IN",2008,"14,051","13,214",837,6.0
CN1813900000000,18,139,"Rush County, IN",2008,"9,232","8,663",569,6.2
CN1814100000000,18,141,"St. Joseph County, IN",2008,"132,903","124,176","8,727",6.6
CN1814300000000,18,143,"Scott County, IN",2008,"11,099","10,379",720,6.5
CN1814500000000,18,145,"Shelby County, IN",2008,"23,816","22,421","1,395",5.9
CN1814700000000,18,147,"Spencer County, IN",2008,"10,517","9,985",532,5.1
CN1814900000000,18,149,"Starke County, IN",2008,"10,701","9,871",830,7.8
CN1815100000000,18,151,"Steuben County, IN",2008,"16,177","14,965","1,212",7.5
CN1815300000000,18,153,"Sullivan County, IN",2008,"8,869","8,275",594,6.7
CN1815500000000,18,155,"Switzerland County, IN",2008,"5,695","5,408",287,5.0
CN1815700000000,18,157,"Tippecanoe County, IN",2008,"83,556","79,617","3,939",4.7
CN1815900000000,18,159,"Tipton County, IN",2008,"7,599","7,049",550,7.2
CN1816100000000,18,161,"Union County, IN",2008,"3,603","3,380",223,6.2
CN1816300000000,18,163,"Vanderburgh County, IN",2008,"91,482","86,733","4,749",5.2
CN1816500000000,18,165,"Vermillion County, IN",2008,"7,810","7,245",565,7.2
CN1816700000000,18,167,"Vigo County, IN",2008,"50,403","47,164","3,239",6.4
CN1816900000000,18,169,"Wabash County, IN",2008,"16,541","15,299","1,242",7.5
CN1817100000000,18,171,"Warren County, IN",2008,"4,795","4,598",197,4.1
CN1817300000000,18,173,"Warrick County, IN",2008,"31,044","29,605","1,439",4.6
CN1817500000000,18,175,"Washington County, IN",2008,"14,106","13,169",937,6.6
CN1817700000000,18,177,"Wayne County, IN",2008,"33,280","30,915","2,365",7.1
CN1817900000000,18,179,"Wells County, IN",2008,"14,738","13,907",831,5.6
CN1818100000000,18,181,"White County, IN",2008,"12,411","11,694",717,5.8
CN1818300000000,18,183,"Whitley County, IN",2008,"17,877","16,741","1,136",6.4
CN1900100000000,19,1,"Adair County, IA",2008,"4,377","4,199",178,4.1
CN1900300000000,19,3,"Adams County, IA",2008,"2,112","2,022",90,4.3
CN1900500000000,19,5,"Allamakee County, IA",2008,"7,886","7,376",510,6.5
CN1900700000000,19,7,"Appanoose County, IA",2008,"6,028","5,695",333,5.5
CN1900900000000,19,9,"Audubon County, IA",2008,"3,229","3,083",146,4.5
CN1901100000000,19,11,"Benton County, IA",2008,"14,425","13,818",607,4.2
CN1901300000000,19,13,"Black Hawk County, IA",2008,"73,726","70,684","3,042",4.1
